metal1,metal2,n_metal1,n_metal2,linker1,linker2,linker3,n_linker1,n_linker2,n_linker3,modulator1,modulator2,n_modulator1,n_modulator2,solvent1,solvent2,solvent3,n_solvent1,n_solvent2,n_solvent3,temperature,time,equip,result,linker1_smiles,linker2_smiles,linker3_smiles,linker1_carboxylate,linker2_carboxylate,linker3_carboxylate,linker1_N_donnor,linker2_N_donnor,linker3_N_donnor,linker1_phosphate,linker2_phosphate,linker3_phosphate,linker1_chelating,linker2_chelating,linker3_chelating,solvent1_smiles,solvent1_type,solvent1_mmol,solvent2_smiles,solvent2_type,solvent2_mmol,solvent3_smiles,solvent3_type,solvent3_mmol,modulator1_smiles,modulator1_type,modulator1_mmol,modulator2_smiles,modulator2_type,modulator2_mmol,linker1_MW,linker2_MW,linker3_MW,linker1_mol,linker2_mol,linker3_mol,metal1_mol,metal2_mol,solvent1_mol,solvent2_mol,solvent3_mol,modulator1_mol,modulator2_mol
Zn(NO3)2·4H2O,,37.47 g,,2-Aminoterephthalic acid,,,5.96 g,,,,,,,DEF,,,800 mL,,,100.0,12.0,1,0,O=C(O)C1=CC=C(C(=O)O)C(N)=C1,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,,,,,,,181.037507704,,,32.921354671677875,,,143.31002636261942,,7163.222936,,,,
Zn(NO3)2·4H2O,,4.50 g,,"2,5-Dihydroxyterephthalic acid",,,1.00 g,,,,,,,DMF,,,100 mL,,,110.0,20.0,1,0,O=C(O)C1=CC(O)=C(C=C1O)C(=O)O,,,2.0,,,0.0,,,0.0,,,2.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,198.016437912,,,5.050085793606728,,,17.210971941067186,,1292.242441,,,,
Zn(NO3)2·4H2O,,7.2 g,,"Benzene-1,3,5-tris(4-benzoic acid)",,,2.0 g,,,,,,,DEF,,,200 mL,,,100.0,24.0,1,0,O=C(O)C=1C=CC(=CC1)C2=CC(=CC(=C2)C=3C=CC(=CC3)C(=O)O)C=4C=CC(=CC4)C(=O)O,,,3.0,,,0.0,,,0.0,,,0.0,,,O=CN(CC)CC,S,8.95402867,,,,,,,,,,,,,438.1103382959999,,,4.565060043501513,,,27.537555105707497,,1790.805734,,,,
Cu(NO3)2·5H2O,,0.04457 mol,,trimesic acid,,,0.0238 mol,,,,,,,DMF,EtOH,H2O,85 mL,85 mL,85 mL,85.0,24.0,1,0,O=C(O)C=1C=C(C=C(C1)C(=O)O)C(=O)O,,,3.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,OCC,S,17.12611244,O,S,55.65649279,,,,,,,210.016437912,,,23.8,,,44.57,,1098.40607485,1455.7195574,4730.80188715,,
Zn(CH3COO)2·2H2O,,30.35 g,,"Diacetylene-1,4-bis-(4-benzoic acid)",,,20.28 g,,,,,,,DMF,,,1500 mL,,,25.0,10.0,2,0,O=C(O)C1=CC=C(C#CC#CC2=CC=C(C=C2)C(=O)O)C=C1,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,290.0579088,,,69.91707305586145,,,138.26969981033133,,19383.636615,,,,
Zn(NO3)2·4H2O,,1.044 g,,5-chlorobenzimidazole,,,6.106 g,,,H2O,,5 mL,,DMF,,,295 mL,,,120.0,72.0,1,1,ClC=1C=CC=2NC=NC2C1,,,0.0,,,2.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O,S,55.65649279,,,,152.01412584,,,40.16731975570988,,,3.9929454903275863,,3812.11520095,,,278.28246395,
Zn(CF3SO3)2,,4.0 mmol,,HcbIM,,,40.0 mmol,,,H2O,,5.8 mL,,DMF,,,270 mL,,,120.0,48.0,1,1,ClC=1C=CC=2NC=NC2C1,,,0.0,,,2.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O,S,55.65649279,,,,152.01412584,,,40.0,,,4.0,,3489.0545907,,,322.807658182,
AlCl3·6H2O,,60 mg,,"5,10,15,20-tetrakis(4-carboxyphenyl) porphyrin",,,100 mg,,,,,,,H2O,,,10 mL,,,180.0,16.0,1,0,O=C(O)C=1C=CC(=CC1)C=2C3=NC(C=C3)=C(C4=CC=C(C=C4)C(=O)O)C5=CC=C(N5)C(=C6N=C(C=C6)C(C7=CC=C(C=C7)C(=O)O)=C8C=CC2N8)C=9C=CC(=CC9)C(=O)O,,,4.0,,,0.0,,,0.0,,,0.0,,,O,S,55.65649279,,,,,,,,,,,,,790.2063639200002,,,0.1265492212742087,,,0.2485278041309297,,556.5649279,,,,
Cu(NO3)2·5H2O,,120 mg,,H4PDAI,,,40 mg,,,48% HBF4,,1.5 mL,,DMA,H2O,,12 mL,3 mL,,75.0,48.0,1,1,O=C(O)C1=CC(=CC(=C1)C(=O)O)NC(=O)C2=CN=CC(=C2)C(=O)NC=3C=C(C=C(C3)C(=O)O)C(=O)O,,,4.0,,,1.0,,,0.0,,,0.0,,,O=C(N(C)C)C,S,10.75068871,O,S,55.65649279,,,,[H+].[F-][B+3]([F-])([F-])[F-],A,20.95433322,,,,493.0757436799999,,,0.081123438969976,,,0.4322044154003078,,129.00826452,166.96947837,,15.087119918399999,
ZrCl4,,0.35 mmol,,terephthalic acid,,,0.35 mmol,,,,,,,DMF,,,4 mL,,,120.0,24.0,1,0,O=C(O)C1=CC=C(C=C1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,166.026608672,,,0.35,,,0.35,,51.68969764,,,,
ZrCl4,,0.35 mmol,,2-nitroterephthalic acid,,,0.35 mmol,,,,,,,DMF,,,4 mL,,,120.0,24.0,1,0,O=C(O)C1=CC=C(C(=O)O)C(=C1)N(=O)=O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,211.01168688,,,0.35,,,0.35,,51.68969764,,,,
ZrCl4,,0.368 mmol,,2-aminoterephthalic acid,,,0.35 mmol,,,,,,,DMF,,,4 mL,,,120.0,24.0,1,0,O=C(O)C1=CC=C(C(=O)O)C(N)=C1,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,181.037507704,,,0.35,,,0.368,,51.68969764,,,,
ZrCl4,,0.35 mmol,,"1,4-naphthalenedicarboxylic acid",,,0.35 mmol,,,,,,,DMF,,,4 mL,,,120.0,24.0,1,0,O=C(O)C1=CC=C(C(=O)O)C=2C=CC=CC12,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,216.042258736,,,0.35,,,0.35,,51.68969764,,,,
ZrCl4,,0.35 mmol,,"2,5-dimethoxyterephthalic acid",,,0.35 mmol,,,Acetic Acid,,0.6 mL,,DMF,,,4 mL,,,110.0,48.0,1,0,O=C(O)C1=CC(OC)=C(C=C1OC)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O=C(O)C,A,17.39550375,,,,226.04773804,,,0.35,,,0.35,,51.68969764,,,10.43730225,
ZrCl4,,0.105 mmol,,"4,4'-biphenyl-dicarboxylic acid",,,0.105 mmol,,,glacial acetic acid,,3.5 mmol,,DMF,,,4 mL,,,120.0,24.0,1,0,O=C(O)C=1C=CC(=CC1)C2=CC=C(C=C2)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O=C(O)C,A,17.39550375,,,,242.0579088,,,0.105,,,0.105,,51.68969764,,,3.5,
ZrCl4,,0.105 mmol,,"2,2'-bipyridine-5,5'-dicarboxylic acid",,,0.105 mmol,,,glacial acetic acid,,3.15 mmol,,DMF,,,4 mL,,,120.0,24.0,1,0,O=C(O)C1=CN=C(C=C1)C=2N=CC(=CC2)C(=O)O,,,2.0,,,2.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O=C(O)C,A,17.39550375,,,,244.048406736,,,0.105,,,0.105,,51.68969764,,,3.15,
ZrCl4,,0.105 mmol,,H2bpydc,H2bpdc,,0.052 mmol,0.052 mmol,,acetic acid,,3.15 mmol,,DMF,,,4 mL,,,120.0,24.0,1,0,O=C(O)C1=CN=C(C=C1)C=2N=CC(=CC2)C(=O)O,O=C(O)C=1C=CC(=CC1)C2=CC=C(C=C2)C(=O)O,,2.0,2.0,,2.0,0.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,,,,,,,O=C(O)C,A,17.39550375,,,,244.048406736,242.0579088,,0.052,0.052,,0.105,,51.68969764,,,3.15,
ZrCl4,,0.054 g,,btbaH4,,,0.054 g,,,benzoic acid,,2.400 g,,DMF,,,12 mL,,,120.0,96.0,1,1,O=C(O)C1=CC=C(C#CC=2C=C(C#CC3=CC=C(C=C3)C(=O)O)C=C(C2)C=4C=C(C#CC5=CC=C(C=C5)C(=O)O)C=C(C#CC6=CC=C(C=C6)C(=O)O)C4)C=C1,,,4.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O=C(O)C=1C=CC=CC1,A,8.188666885,,,,730.1627677920001,,,0.0739561127764636,,,0.2317397648270534,,155.06909292,,,19.652800524,
ZrCl4,,0.036 g,,ptbaH4,,,0.028 g,,,benzoic acid,,1.600 g,,DMF,NMP,,3 mL,5 mL,,120.0,72.0,1,1,O=C(O)C1=CC=C(C#CC2=CC(C#CC3=CC=C(C=C3)C(=O)O)=C4C=CC5=C(C#CC6=CC=C(C=C6)C(=O)O)C=C(C#CC7=CC=C(C=C7)C(=O)O)C8=CC=C2C4=C85)C=C1,,,4.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,O=C1N(C)CCC1,S,10.36013316,,,,O=C(O)C=1C=CC=CC1,A,8.188666885,,,,778.1627677920001,,,0.0359821892782774,,,0.154493176551369,,38.76727323,51.8006658,,13.101867016,
ZrCl4,,0.036 g,,btbaH4,ptbaH4,,0.036 mmol,0.002 mmol,,benzoic acid,,1.6 g,,DMF,,,8 mL,,,120.0,72.0,1,1,O=C(O)C1=CC=C(C#CC=2C=C(C#CC3=CC=C(C=C3)C(=O)O)C=C(C2)C=4C=C(C#CC5=CC=C(C=C5)C(=O)O)C=C(C#CC6=CC=C(C=C6)C(=O)O)C4)C=C1,O=C(O)C1=CC=C(C#CC2=CC(C#CC3=CC=C(C=C3)C(=O)O)=C4C=CC5=C(C#CC6=CC=C(C=C6)C(=O)O)C=C(C#CC7=CC=C(C=C7)C(=O)O)C8=CC=C2C4=C85)C=C1,,4.0,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,,,,,,,O=C(O)C=1C=CC=CC1,A,8.188666885,,,,730.1627677920001,778.1627677920001,,0.036,0.002,,0.154493176551369,,103.37939528,,,13.101867016,
ZrCl4,,0.036 g,,btbaH4,ptbaH4,,0.023 mmol,0.011 mmol,,benzoic acid,,1.6 g,,DMF,NMP,,7.5 mL,0.5 mL,,120.0,72.0,1,1,O=C(O)C1=CC=C(C#CC=2C=C(C#CC3=CC=C(C=C3)C(=O)O)C=C(C2)C=4C=C(C#CC5=CC=C(C=C5)C(=O)O)C=C(C#CC6=CC=C(C=C6)C(=O)O)C4)C=C1,O=C(O)C1=CC=C(C#CC2=CC(C#CC3=CC=C(C=C3)C(=O)O)=C4C=CC5=C(C#CC6=CC=C(C=C6)C(=O)O)C=C(C#CC7=CC=C(C=C7)C(=O)O)C8=CC=C2C4=C85)C=C1,,4.0,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,O=C1N(C)CCC1,S,10.36013316,,,,O=C(O)C=1C=CC=CC1,A,8.188666885,,,,730.1627677920001,778.1627677920001,,0.023,0.011,,0.154493176551369,,96.918183075,5.18006658,,13.101867016,
ZrCl4,,0.15 mmol,,btbaH4,ptbaH4,,0.013 mmol,0.022 mmol,,benzoic acid,,1.6 g,,NMP,DMF,,2 mL,6 mL,,120.0,72.0,1,1,O=C(O)C1=CC=C(C#CC=2C=C(C#CC3=CC=C(C=C3)C(=O)O)C=C(C2)C=4C=C(C#CC5=CC=C(C=C5)C(=O)O)C=C(C#CC6=CC=C(C=C6)C(=O)O)C4)C=C1,O=C(O)C1=CC=C(C#CC2=CC(C#CC3=CC=C(C=C3)C(=O)O)=C4C=CC5=C(C#CC6=CC=C(C=C6)C(=O)O)C=C(C#CC7=CC=C(C=C7)C(=O)O)C8=CC=C2C4=C85)C=C1,,4.0,4.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,O=C1N(C)CCC1,S,10.36013316,O=CN(C)C,S,12.92242441,,,,O=C(O)C=1C=CC=CC1,A,8.188666885,,,,730.1627677920001,778.1627677920001,,0.013,0.022,,0.15,,20.72026632,77.53454646,,13.101867016,
ZrCl4,,0.2 mmol,,H3CTTA,,,0.08 mmol,,,formic acid,,8 mL,,DMF,,,8 mL,,,120.0,48.0,1,1,O=C(O)C=1C=CC(=CC1)C2=C(C(C=3C=CC(=CC3)C(=O)O)=C(C(C=4C=CC(=CC4)C(=O)O)=C2C)C)C,,,3.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O=CO,A,26.50445362,,,,480.1572884879999,,,0.08,,,0.2,,103.37939528,,,212.03562896,
ZrCl4,,0.2 mmol,,H3TTNA,,,0.06 mmol,,,acetic acid,,3.2 mL,,DMF,,,12 mL,,,120.0,72.0,1,1,O=C(O)C=1C=CC2=CC(=CC=C2C1)C3=C(C(C=4C=CC=5C=C(C=CC5C4)C(=O)O)=C(C(C=6C=CC=7C=C(C=CC7C6)C(=O)O)=C3C)C)C,,,3.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O=C(O)C,A,17.39550375,,,,630.20423868,,,0.06,,,0.2,,155.06909292,,,55.665612,
AlCl3,NaAlO2,18.75 mmol,6.25 mmol,H2TDC,,,25 mmol,,,sodium hydroxide,,50 mmol,,H2O,,,100 mL,,,100.0,6.0,2,0,O=C(O)C=1SC(=CC1)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O,S,55.65649279,,,,,,,[Na]O,B,25.0,,,,171.983029608,,,25.0,,,18.75,6.25,5565.649279,,,50.0,
Co(NO3)2·6H2O,Cd(NO3)2·4H2O,39.6 mg,42.0 mg,H4DOT,,,18 mg,,,EtOH,H2O,0.36 mL,0.36 mL,DMF,,,6 mL,,,120.0,24.0,1,1,O=C(O)C1=CC(O)=C(C=C1O)C(=O)O,,,2.0,,,0.0,,,0.0,,,2.0,,,O=CN(C)C,S,12.92242441,,,,,,,OCC,S,17.12611244,O,S,55.65649279,198.016437912,,,0.0909015442849211,,,0.1360629858926048,0.1361509579581401,77.53454646,,,6.1654004784,20.0363374044
Co(NO3)2·6H2O,Pb(NO3)2,39.6 mg,72.0 mg,H4DOT,,,18 mg,,,EtOH,H2O,0.36 mL,0.36 mL,DMF,,,6 mL,,,120.0,24.0,1,1,O=C(O)C1=CC(O)=C(C=C1O)C(=O)O,,,2.0,,,0.0,,,0.0,,,2.0,,,O=CN(C)C,S,12.92242441,,,,,,,OCC,S,17.12611244,O,S,55.65649279,198.016437912,,,0.0909015442849211,,,0.1360629858926048,0.2173781776462774,77.53454646,,,6.1654004784,20.0363374044
Co(NO3)2·6H2O,Mn(NO3)2·4H2O,19.8 mg,19.8 mg,H4DOT,,,18 mg,,,EtOH,H2O,0.36 mL,0.36 mL,DMF,,,6 mL,,,120.0,24.0,1,1,O=C(O)C1=CC(O)=C(C=C1O)C(=O)O,,,2.0,,,0.0,,,0.0,,,2.0,,,O=CN(C)C,S,12.92242441,,,,,,,OCC,S,17.12611244,O,S,55.65649279,198.016437912,,,0.0909015442849211,,,0.0680314929463024,0.0788778251009317,77.53454646,,,6.1654004784,20.0363374044
Co(NO3)2·6H2O,,0.04 mmol,,H4 CTNL,,,0.01 mmol,,,,,,,DMF,,,200 uL,,,90.0,18.0,1,1,O=C(O)C=1C=C2C=C(C1)C(=O)NCC3=CC=C(C=C3)CNC(=O)C=4C=C(C=C(C4)C(=O)NCC5=CC=C(C=C5)CNC2=O)C(=O)O,,,2.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,,,,,,,620.1907138560001,,,0.01,,,0.04,,2.584484882,,,,
In(NO3)3·4H2O,,0.087 mmol,,H3L1,,,0.0375 mmol,,,HNO3,,3.5 mmol,,DMF,,,3.0 mL,,,105.0,48.0,1,1,O=C(O)C1=CC=C(C=C1)NC(=O)C=2C=C(C=C(C2)C(=O)NC3=CC=C(C=C3)C(=O)O)C(=O)NC4=CC=C(C=C4)C(=O)O,,,3.0,,,0.0,,,0.0,,,0.0,,,O=CN(C)C,S,12.92242441,,,,,,,O=N(=O)O,A,24.59926996,,,,567.1277792520001,,,0.0375,,,0.087,,38.76727323,,,3.5,
In(NO3)3·4H2O,,0.0435 mmol,,H3L1,H2L2-OH,,0.02175 mmol,0.02175 mmol,,HNO3,,2.1 mmol,,DMF,,,2.5 mL,,,105.0,36.0,1,1,O=C(O)C1=CC=C(C=C1)NC(=O)C=2C=C(C=C(C2)C(=O)NC3=CC=C(C=C3)C(=O)O)C(=O)NC4=CC=C(C=C4)C(=O)O,O=C(O)C1=CC=C(C=C1O)NC(=O)C2=CC=C(C=C2)C(=O)OC,,3.0,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,,,,,,,O=N(=O)O,A,24.59926996,,,,567.1277792520001,315.07428713599995,,0.02175,0.02175,,0.0435,,32.306061025,,,2.1,
In(NO3)3·4H2O,,0.0435 mmol,,H3L1,H2L2-F,,0.02 mmol,0.02 mmol,,HNO3,,1.75 mmol,,DMF,,,2.5 mL,,,105.0,36.0,1,1,O=C(O)C1=CC=C(C=C1)NC(=O)C=2C=C(C=C(C2)C(=O)NC3=CC=C(C=C3)C(=O)O)C(=O)NC4=CC=C(C=C4)C(=O)O,O=C(O)C1=CC=C(C=C1F)NC(=O)C2=CC=C(C=C2)C(=O)OC,,3.0,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,O=CN(C)C,S,12.92242441,,,,,,,O=N(=O)O,A,24.59926996,,,,567.1277792520001,317.06995070399995,,0.02,0.02,,0.0435,,32.306061025,,,1.75,
