file ID,file name short,doi,content
23,23CO2_SI,10.1021/ja0570032,"MOF-2: Anhydrous ZnCl2 (3.0 g) and p-benzenedicaboxylic acid (H2BDC) (2.15 g) were dissolved by vigorous stirring into dimethylformamide (DMF) (250 mL). A solution of distilled water (100 mL) and 40 wt% aqueous methylamine (3.6 mL) was added drop-wise over 15 minutes to partially titrate the clear, stirring DMF solution. After 1 day of sitting at room temperature the clear block crystals were filtered and washed with DMF. The filtered crystals were evacuated to 10-3 torr and heated to 60 °C in 30 minutes, then to 150 °C in 2 hours, and held at that temperature for 6 hours to give a 345 m2/g sample. Norit RB2: The carbon sample was evacuated and heated at 300 °C for 5 hours to give a 1,184 m2/g sample. MOF-505 was prepared and activated according to published procedure (Chen, B.L. et al Angew. Chem. Int. Ed., 2005, 44, 4745) to give a 1,547 m2/g sample. MOF-74: Zn(NO3)2·4H2O (0.250 g) and 2,5-dihydroxybenzenedicarboxylic acid (H2DHBDC) (0.100 g) were dissolved in a 20 mL vial containing DMF (10 mL), 1-propanol (0.5 mL) and distilled H2O (0.5 mL), capped, and heated at 100 °C for 20 hours. The crystals were washed with DMF, then immersed in 300 mL methanol. And the supernatant refreshed twice in two days to exchange the DMF guests. The crystals were evacuated to 10-3 torr and heated to 270 °C for 16 hours to produce an 816 m2/g sample. Cu3(BTC)2: Cu(NO3)2·2.5H2O (10.0 g) and 1,3,5-benzenetricarboxylic acid (H3BTC) (5.0 g) were stirred for 10 minutes in 250 mL of solvent consisting of DMF, ethanol and water (1:1:1) in a 1 L jar to form a slurry. The tightly capped vessel was heated at 85 °C for 20 hours. The blue crystals were washed with DMF and exchanged with dichloromethane (CH2Cl2) thrice in three days. The dark blue crystals were then filtered and evacuated at 170 °C for 24 hours to give a 1,781 m2/g sample. IRMOF-11: Zn(NO3)2·4H2O (3.00 g) and hydropyrenedicarboxylic acid (H2HPDC) (0.50 g) were dissolved in DEF (100 mL) in a 1 L jar, capped tightly, and heated to 100 °C for 20 hours. The solution was decanted and the brown block crystals were rinsed with DMF and exchanged with chloroform (CHCl3) thrice in three days. The material was evacuated at 125 °C for 6 hours to give a 2,096 m2/g sample. IRMOF-3: Zn(NO3)2·4H2O (6.945 g) and 2-aminobenzenedicarboxylic acid (H2NH2BDC) (0.966 g) were dissolved in a 1 L jar containing DEF (300 mL). The solution was degassed via bubbling N2 for 10 minutes, then tightly capped and heated to 85 °C for 4 days. The solution was decanted, then the brown block crystals were washed
S2
in DMF and exchanged with CHCl3 thrice in three days. The material was evacuated at 125 °C for 6 h to give a 2,160 m2/g sample. IRMOF-6: Zn(NO3)2·4H2O (9.00 g) and cyclobutylbenzenedicarboxylic acid (H2C2H4BDC) (2.50 g) were dissolved in DEF (300 mL) and then filtered into a 1 L jar which was capped tightly and heated to 100 °C for 20 hours. The solution was decanted, and the light yellow block crystals were washed in DMF and exchanged with CHCl3 thrice in three days. The material was evacuated at 125 °C for 6 hours to give a 2,516 m2/g sample. IRMOF-1: Zn(NO3)2·4H2O (0.832 g) and H2BDC (0.176 g) were dissolved in DEF (10 mL) in a 20 mL vial, capped tightly, and heated to 100 °C for 20 hours. The solution was decanted, and the clear block crystals were washed in DMF and exchanged with CHCl3 thrice in three days. The material was evacuated at 125 °C for 6 hours to give a 2,833 m2/g sample. MOF-177: Zn(NO3)2·6H2O (0.368 g) and 4,4',4''-benzene-1,3,5-triyl-tribenzoic acid (H3BTB) (0.180 g) were dissolved in DEF (10 mL) in a 20 mL vial, capped tightly, and heated to 100 °C for 20 hours. The solution was decanted, and the clear block crystals were washed in DMF and exchanged with CHCl3 thrice in three days. The material was evacuated at 125 °C for 6 hours to give a 4,508 m2/g sample.
"
24,24CAU1,10.1002/anie.200901409," The optimized synthesis of CAU-1 in the 24-reactor system is as follows: a mixture of AlCl3⋅6 H2O (92.7 mg, 0.384 mmol) and H2N-H2bdc (23.32 mg, 0.129 mmol) was suspended in methanol (1.235 mL) and heated at 125 °C for 5 h. Scale-up of the reaction to the gram scale was performed in a 250 mL Duran screw-cap glass bottle (Schott). H2N-H2bdc (2.33 g, 12.9 mmol) and AlCl3⋅6 H2O (9.27 g, 38.4 mmol) were suspended in methanol (123 mL). The resulting dispersion was heated at 125 °C for 5 h."
25,25CAU7,10.1002/anie.201204963,"a ) Conventional solvothermal reaction
1,3,5-benzenetrisbenzoic acid (H3BTB) (200 mg, 0.46 mmol) and Bi(NO3)3·5H2O
(148 mg, 0.31 mmol) were mixed in a 23 ml Teflon lined steel reactor, to which methanol
(99.8%) (10 ml) was added. The reactor was then sealed, the reaction mixture
homogenized and heated to 120 °C for 12 h. The yellow precipitated was filtered, washed
with methanol, dimethylformamide (DMF) and methanol again. The product was
identified by X-ray powder diffraction as pure CAU-7. (yield 67% based on H3BTB)
(Figure S1)
b) Conventional solvothermal reaction for larger crystals suitable for electron diffraction
1,3,5-benzenetrisbenzoic acid (H3BTB) (200 mg, 0.46 mmol) of and Bi(NO3)3·5H2O
(148 mg, 0.31 mmol) were added into a 23 ml Teflon lined steel reactor, to which
methanol (99.8%) (7.5 ml) and DMF (2.5 ml) were added. The reactor was then sealed,
the reaction mixture homogenized and heated to 120 °C for 12 h. The yellow precipitated
was filtered, washed with methanol, DMF and methanol again. The product was identified
as CAU-7 with a minor impurities (marked with * in Figure S1) by X-ray powder
diffraction. (yield 73% based on H3BTB)
c) Synthesis under microwave assisted heating
1,3,5-benzenetrisbenzoic acid (H3BTB) (200 mg, 0.46 mmol) and Bi(NO3)3·5H2O
(148 mg, 0.31 mmol) were mixed into 30 ml microwave glass reaction vessel (Biotage) to
which methanol (99.8%) (20 ml) methanol was added. The reactor was sealed with a
septum, the reaction mixture homogenized and heated to 120 °C for 20 min in a Biotage
Initiator microwave synthesizer. The mixture was stirred with a magnetic stirring bar
during the reaction. The yellow precipitated was filtered, washed with methanol, DMF
3
and methanol again. The product was identified as pure CAU-7 by X-ray powder
diffraction. (Figure S1) (yield 72 % based on H3BTB)"
26,26CAU8,10.1021/ic301961q,"Single-crystals of CAU-8 suitable in size for the structure determination (Figure 1) were isolated during the HT optimization experiments from a 2 mL-reactor. These were accompanied by a microcrystalline, unporous byproduct. In this experiment, 60 mg of H2BPDC (0.22 mmol), 148 mg of Al2(SO4)3·18H2O (0.22 mmol), 250 μL of DMF, and 250 μL of H2O were heated in a HT-reactor up to 140 °C over 1 h, held at this temperature for 12 h, and cooled down to room temperature over 1 h."
27,27CAU10,10.1021/cm3025445,"Synthesis
CAU-10-H (1) was synthesized from a mixture of 200 mg of 1,3-H2BDC (1.20 mmol), 800 mg of Al2(SO4)3·18H2O (1.20 mmol), 1 mL of N,N-dimethylformamid (DMF), and 4 mL of H2O. The reactants were dosed into a Teflon-lined steel-autoclave with a volume of 37 mL and placed in an oven for 12 h at 135 °C. After being cooled to room temperature, the product was filtered off and the obtained solid was redispersed in water by sonication and stirring, until a homogeneous mixture was obtained. The dispersion was filtered again and the white microcrystalline solid was dried in air.

The methylated MOF CAU-10-CH3 (2) was synthesized in a 100 mL glass reactor with screw cap. Therefore, 0.80 g (4.44 mmol) of 5-methylisophthalic acid, 2.96 g of Al2(SO4)3·18H2O (4.44 mmol), 4 mL of DMF, and 16 mL of H2O were mixed thoroughly and heated for 12 h to 130 °C. After cooling to room temperature, the filtered product was redispersed in ∼200 mL water by sonication and stirring. Afterward, the mixture was filtered again and the pale yellow solid was dried under ambient conditions. 

The OCH3-functionalized MOF CAU-10-OCH3 (3) was also synthesized in a 100 mL glass reactor with screw cap: 1.20 g (6.12 mmol) of 5-methoxyisophthalic acid, 2.04 g of Al2(SO4)3·18H2O (3.06 mmol), 3 mLof DMF, and 12 mL of H2O were mixed thoroughly and heated for 12 h at 130 °C. After being cooled to room temperature, the white microcrystalline product was processed in the same way as CAU-10-CH3. 


The NO2-functionalized CAU-10-NO2 (4) was synthesized using a 2 M solution of AlCl3·6H2O in water as the Al3+ source. Thus, 1440 mg (6.82 mmol) 5-nitroisophthalic acid, 3.4 mL of Al3+ solution (6.80 mmol), 4 mL of DMF, and 12.6 mL of H2O were filled into a 100 mL glass reactor with screw cap. The mixture was heated at 120 °C for 12 h, and the product was worked up in the same way as the other compounds.


The NH2-functionalized CAU-10-NH2 (5) was synthesized by dosing 1200 mg (6.63 mmol) of 5-aminoisophthalic acid, 3.3 mL of Al3+-solution (6.6 mmol), 4 mL of DMF, and 12.7 mL of H2O into a 100 mL glass reactor with screw cap. The mixture was heated at 120 °C for 12 h, and the resulting pale pink solid was filtered off. The reaction product was redipersed in water by sonication for 30 min, filtered off again and dried for one hour at 200 °C in air. 


The OH-functionalized CAU-10-OH (6) was synthesized by dosing 1000 mg (5.49 mmol) of 5-hydroxyisophthalic acid, 2.8 mL of Al3+-solution (5.6 mmol), 4 mL of DMF and 13.2 mL of H2O into a 100 mL glass reactor with screw cap. The mixture was heated at 120 °C for 12 h, and the resulting white solid was filtered off. The reaction product was redipersed in water by sonication for 30 min, filtered off again and dried for 1 h at 200 °C in air. "
28,28CAU11,10.1021/ic502242j,"Optimized Reaction Conditions for [Al(OH)(SDBA)]·0.25DMF
The optimized synthesis parameters obtained from the HT-investigations were used for the synthesis scale up of CAU-11. CAU-11 is synthesized from a mixture of AlCl3·6H2O (724 mg, 3 mmol), 4,4′-sulfonyldibenzoic acid (H2SDBA) (268 mg, 1.2 mmol), 2 M aqueous solution of NaOH (1.8 mL, 3.6 mmol), and 18.2 mL of H2O (no homogenization was necessary). The Teflon-liner was placed in a steel autoclave with a volume of 30 mL. The reaction was performed under conventional heating at 150 °C for 12 h, with 1 h heating up and 1 h cooling down. To remove free linker molecules as detected by IR spectroscopy, the resulting precipitate was filtered off and washed with DMF under microwave heating at 150 °C for 1 h. After being cooled to room temperature, the solid was filtered and dried in air. Yield ∼420 mg (∼98% based on H2SDBA). Elemental analysis: N 0.82%, C 46.63%, H 2.70%, S 8.41%. Calculated values based on the molecular formula [Al(OH)(SDBA)]·0.25DMF: N 0.96%, C 48.33%, H 2.94%, S 8.74%.
Optimized Reaction Conditions for [Al(OH)(H2DPSTC)]·0.5H2O
CAU-11-COOH could only be obtained in the miniaturized reactors. CAU-11-COOH was synthesized in a 5 mL glass vial from a mixture of DPSDA (53.7 mg, 0.15 mmol), 1 M aqueous solution of AlCl3·6H2O (75 μL, 0.15 mmol), and 1425 μL of H2O (no homogenization was necessary). The reaction was carried out in a HT-microwave oven at 170 °C for 5 h. After cooling to room temperature, the precipitate was filtered off and dried in air. Yield ∼35 mg (∼50% based on DPSDA). Elemental analysis: C 43.23%, H 2.04%, S 7.46%. Calculated values based on the molecular formula [Al(OH)(H2DPSTC)]·0.5H2O: C 45.60%, H 2.88%, S 7.60%.
Optimized Reaction Conditions for [Al2(OH)2(DPSTC)(H2O)2]·0.5H2O
CAU-12 was synthesized using a large excess of Al3+ ions in a mixture of DPSDA (17.9 mg, 0.05 mmol), 1000 μL of H2O, and 1 M aqueous solution of Al(NO3)3·9H2O (500 μL, 0.5 mmol). The starting materials were placed in a 5 mL glass vial, and the reaction was carried out in a HT-microwave oven at 170 °C for 5 h. After cooling to room temperature, the precipitate was filtered off and dried in air. Upscaling of the reaction was not yet achieved. Yield ∼20 mg (∼85% based on DPSDA). Elemental analysis: C 37.32%, H 2.29%, S 5.84%. Calculated values based on the molecular formula [Al2(OH)2(DPSTC)(H2O)2]·0.5H2O: C 36.72%, H 2.50%, S 6.13%."
29,29CAU17,10.1021/jacs.5b12484,"Synthesis of CAU-17
All chemicals were purchased and obtained from Aldrich, Alfa Aesar, or BASF. They were used without further purification. Synthesis was carried out under solvothermal conditions in a Biotage Initiator microwave oven with 10 mL vials. Suitable single crystals were obtained by mixing H3BTC (62.5 mg, 297 μmol) and ground Bi(NO3)3·5H2O (125.5 mg, 259 μmol) with 5 mL of MeOH at room temperature. The sealed glass vial was shaken by hand for 1 min and subsequently heated in the microwave oven to 120 °C for 20 min with 600 rpm stirring. The obtained colorless single crystals were collected by filtration."
30,30CAU18,10.1021/acs.cgd.7b00450,"CAU-18
 H6TCPP (20 mg, 2.53 × 10–2 mmol), DMF (1200 μL), H2O (300 μL), and 0.53 M aqueous (NH4)2[Ce(NO3)6] solution (94 μL, 5.06 × 10–2 mmol) were added to a 7.0 mL glass vial. The glass vial was heated for 2 h at 100 °C. The resulting product was filtered off and washed two times each with DMF and acetone. A yield of 63 mg (79% based on H6TCPP) was obtained for CAU-18, [Ce4(H2TCPP)3(DMF)2(H2O)4].
CAU-18a
CAU-18 (500 mg, 0.16 mmol) was placed in a crucible and heated for 24 h at 250 °C. A yield of 470 mg, 100% was obtained for CAU-18a, based on the composition [Ce4(H2TCPP)3]·22 H2O deduced from elemental analysis and thermogravimetric (TG) measurements.
CAU-19-H
H6TCPP (20 mg, 2.53 × 10–2 mmol), benzoic acid (HBA-H) (570 mg, 4.67 mmol), DMF (1200 μL), H2O (300 μL), and 0.53 M aqueous (NH4)2[Ce(NO3)6] solution (94 μL, 5.06 × 10–2 mmol) were added to a 7.0 mL glass vial. The glass vial was heated for 24 h at 120 °C. The resulting product was filtered off and washed two times each with DMF and acetone. A yield of 16 mg, 56% (based on H6TCPP) was obtained for CAU-19-H, [Ce3(H2TCPP)2(BA-H)(HBA-H/H2O)2]·2(HBA-H)·11H2O.
Zn-CAU-19-H
H6TCPP (20 mg, 2.53 × 10–2 mmol), ZnSO4 (5 mg, 3.10 × 10–2 mmol), benzoic acid (HBA-H) (570 mg, 4.67 mmol), DMF (1200 μL), H2O (300 μL), and 0.53 M aqueous (NH4)2[Ce(NO3)6] solution (94 μL, 5.06 × 10–2 mmol) were added to a 7.0 mL glass vial. The glass vial was heated for 1 h at 120 °C under stirring. The resulting product was filtered off and washed two times each with DMF and acetone. A yield of 15 mg, 53% (based on H6TCPP) was obtained for Zn-CAU-19-H, [Ce3(Zn-TCPP)2(BA-H)(HBA-H/H2O)2]·2(HBA-H)·8H2O.
Co-CAU-19-H
Co-H4TCPP (20 mg, 2.53 × 10–2 mmol), benzoic acid (HBA-H) (570 mg, 4.67 mmol), DMF (2400 μL), H2O (350 μL), and 0.53 M aqueous (NH4)2[Ce(NO3)6] solution (94 μL, 12.65 × 10–2 mmol) were added to a 7.0 mL glass vial. The glass vial was heated for 2 h at 120 °C under stirring. The resulting product was filtered off and washed two times each with DMF and acetone. A yield of 12 mg, 42% (based on Co–H4TCPP) was obtained for Co-CAU-19-H, [Ce3(Co-TCPP)2(BA-H)(HBA-H/H2O)2]·2(HBA-H)·11H2O.
To prove that the porphyrin linker is still metalated after the MOF synthesis UV/vis spectra (Figure S4) were measured. Prior to the measurements all samples were dissolved in 2 M NaOH. The measurements reveal no significant loss of Co2+ and Zn2+ ions. The absorption maxima of the linker molecules incorporated in CAU-19-H, Zn-CAU-19-H, and Co-CAU-19-H after dissolution in 2 M aqueous NaOH solution were observed at 414, 422, and 430 nm, respectively, and correspond well to values reported in the literature (H6TCPP = 413, (18, 62) Zn-H4TCPP = 424 nm, (63) Co-H4TCPP = 430 nm (18)).
To remove the noncoordinating solvent and HBA-X molecules from the as-synthesized samples, the materials were treated under reflux with acetone (CAU-19-X, with X = H, 2Cl, 4Cl, 4NH2, and M-CAU-19-H (M = Zn, Co)) or DMF (CAU-19-3Cl and CAU-19-3CO2H). This procedure was repeated until no further decrease of the amount of HBA-X was observed in the 1H NMR spectra (Figures S5–S12).
Ce-PMOF-4NO2
H6TCPP (180 mg, 22.77 × 10–2 mmol), 4-nitrobenzoic acid (HBA-4NO2) (2000 mg, 12.05 mmol), DMF (9000 μL), and 0.53 M aqueous (NH4)2[Ce(NO3)6] solution (850 μL, 45.54 × 10–2 mmol) were added to a 30 mL Teflon vessel. The Teflon vessel was placed in an autoclave and was heated for 48 h at 120 °C. The resulting product was filtered off and washed with 100 mL DMF. A yield of 139 mg, 44% (based on H6TCPP) was obtained for Ce-PMOF-4NO2, [Ce2(H2TCPP)(BA-4NO2)2]·2DMF.
CAU-19-4NO2
Ce-PMOF-4NO2 (500 mg, 0.36 mmol) and 30 mL of acetone were placed in a 50 mL glass vessel with screw cap and heated in an oven for 72 h at 70 °C. A yield of 427 mg, 100% was obtained for CAU-19-4NO2 (yield calculated based on the linker molecule and corresponding to the formula [Ce3(H2TCPP)2(BA-NO2)(HBA-NO2/H2O)2]·2(HBA-NO2)·6H2O for CAU-19-4NO2)."
31,31CAU21,10.1021/acs.inorgchem.7b00202,"Optimized Reaction Conditions and Scale-Up Synthesis for CAU-21-BPDC (1)
The HT synthesis optimization led to the following optimized synthesis procedure: to a mixture of 129.6 μL of 2 M Al(NO3)3·9H2O in H2O (259 μmol), 70 mg 4,4′-benzophenonedicarboxylic acid (H2BPDC, 259 μmol), and 10 mg benzoic acid (HBA, 82 μmol) were added 300 μL of N,N-dimethylformamide (3.86 mmol) and 70.4 μL of deionized water (5.36 mmol). The reactor was sealed and heated to 110 °C within 6 h, held at this temperature for 24 h, and then cooled to room temperature within 72 h. The product was filtered off, washed with N,N-dimethylformamide at 65 °C for 3 h, filtered again, and subsequently activated at 200 °C at 10–2 kPa for 48 h. The additional washing step in DMF is necessary because the raw product contains recrystallized linker molecules.
Larger amounts of CAU-21-BPDC can be obtained using 648.2 μL of 2 M Al(NO3)3·9H2O in H2O (1.3 mmol), 350 mg of 4,4′-benzophenonedicarboxylic acid (H2BPDC, 1.3 mmol), 50 mg of benzoic acid (410 μmol), 1.5 mL of N,N-dimethylformamide (19.3 mmol), and 352 μL of deionized water (26.8 mmol) in a 30 mL Teflon lined steel autoclave. The temperature program and the additional washing and activation steps are the same as in the optimized synthesis conditions of CAU-21-BPDC (yield: 0.27 g, 66% based on H2BPDC).
Synthesis of Single Crystals of CAU-21-BPDC (1)
Single crystals of CAU-21-BPDC suitable in size for a structure determination could be obtained during the HT optimization experiments from a 2 mL reactor (Figure 1). This synthesis batch also contained recrystallized linker molecules and crystals of CAU-8-BPDC. In this experiment 64.8 μL of 2 M Al(NO3)3·9H2O in H2O (185 μmol), 50 mg of H2BPDC (185 μmol), 250 μL of DMF, and 185.2 μL of H2O were heated in an HT reactor up to 145 °C over 1 h, held at this temperature for 12 h, and cooled to room temperature over 1 h.

HT Experiments To Afford CAU-8-ODB and CAU-21-ODB
For the system Al3+/4,4′-oxydibenzoic acid (H2ODB)/water/DMF, high-throughput investigations under solvothermal reaction conditions were carried out by employing our 24-high-throughput reactor system. (52-54) The variation of the reaction temperature (125–170 °C), the Al3+:H2ODB molar ratio (between 0.3:0.8 and 7:5; one unit corresponds to the amount of 39 μmol), the DMF (N,N-dimethylformamide):H2O (volume ratio between 400:100 μL and 1000:0 μL), and the Al3+ source (Al(NO3)3·9H2O, Al2(SO4)3·18H2O, and AlCl3·6H2O) were investigated (Table S2 in the Supporting Information). Phase-pure products of CAU-8-ODB and CAU-21-ODB can only be obtained as microcrystalline powders.
Optimized Reaction Conditions for CAU-8-ODB (2)
The following synthesis conditions are the optimized ones for CAU-8-ODB: a reaction mixture of 107.7 mg of 4,4′-oxydibenzoic acid (H2ODB, 0.25 mmol), 53.3 mg of Al(NO3)3·9H2O (0.25 mmol), and 6.0 mL of DMF was heated at 120 °C in a 23 mL Teflon-lined digestion bomb for 2 days followed by slow cooling at 6 °C h–1 to room temperature. A pale yellow powder of 2 was filtered off, washed with N,N-dimethylformamide at 85 °C overnight, filtered again, and subsequently activated at 200 °C at 10–2 kPa for 16 h (yield: 20 mg, 25% based on H2ODB).
Optimized Reaction Conditions and Scale-Up Synthesis for CAU-21-ODB (3)
The HT synthesis optimization led to the following optimized synthesis procedure: to a mixture of 22.4 mg of AlCl3·6H2O (93 μmol) and 24 mg of 4,4′-oxydibenzoic acid (H2ODB, 93 μmol), and 400 μL of N,N-dimethylformamide (5.15 mmol) was added 100 μL of deionized water (5.55 mmol). The reactor was sealed carefully and heated to 170 °C within 1 h, held at this temperature for 12 h, and finally cooled to room temperature within 1 h. The product was filtered off, washed with N,N-dimethylformamide at 65 °C for 3 h, filtered again, and subsequently activated at 200 °C at 10–2 kPa for 48 h. The additional washing step in DMF is necessary because the raw filtered product contains recrystallized linker molecules.
Larger amounts of CAU-21-ODB can be obtained using 336 mg of AlCl3·6H2O (1.4 mmol), 360 mg of 4,4′-oxydibenzoic acid (H2ODB, 1.4 mmol), 6 mL of N,N-dimethylformamide (77 mmol), and 1.5 mL of deionized water (83 mmol) in a 30 mL Teflon-lined steel autoclave. The temperature program and the additional washing and activation steps are the same as in the optimized synthesis conditions of CAU-21-ODB (yield: 92 mg, 23% based on H2ODB).
Solvothermal Synthesis of [Al(HODB)2(OH)] (4)
A reaction mixture of 4,4′-oxydibenzoic acid (H2ODB, 0.2582 g, 0.1 mmol), aluminum chloride (AlCl3, 0.1334 g, 0.1 mmol), and H2O (5.0 mL) was heated at 120 °C for 2 days, followed by slow cooling at 6 °C h–1 to room temperature. The colorless and small crystals of [Al(HODB)2(OH)] were filtered off, washed with H2O and ethanol, and dried under ambient conditions."
32,32CAU24,10.1039/c6dt03852b,"Synthesis of Zr-CAU-24. All products were synthesized using Pyrex glass reaction tubes (maximum
volume 8 mL). 1,2,4,5-Tetrakis(4-carboxyphenyl)benzene (H4TCPB, 29.8 mg, 53.3 µmol) was
introduced into the glass reactor. After the addition of N,N-dimethylformamide (DMF; 1.5 mL) and
formic acid (99%, HCOOH, 1030 µL, 27.3 mmol) an aqueous solution of zirconium(IV) dinitrate oxide
hydrate (500 µL, 0.5333 M) was added. The glass reactor was sealed and heated using an aluminum heater
block under stirring for 15 min at 100 °C. The colorless precipitate was centrifuged in the mother liquor,
which was then decanted off, before being re-dispersed and centrifuged twice in DMF (2 mL). To remove
DMF from the product, the solid was washed and centrifuged with acetone (2 mL) four times. The
resulting white solid was dried in air at 70 °C.
Synthesis of Ce-CAU-24. All products were synthesized using Pyrex glass reaction tubes (maximum
volume 8 mL). 1,2,4,5-Tetrakis(4-carboxyphenyl)benzene (H4TCPB, 29.8 mg, 53.3 µmol) was
introduced into the glass reactor. After the addition of N,N-dimethylformamide (DMF; 1.2 mL) and
formic acid (99%, HCOOH, 258 µL, 6.83 mmol) an aqueous solution of cerium(IV) ammonium nitrate
(400 µL, 1.066 M) was added. The glass reactor was sealed and heated using an aluminum heater block
under stirring for 15 min at 100 °C. The yellow precipitate was centrifuged in the mother liquor, which
was then decanted off, before being re-dispersed and centrifuged twice in DMF (2 mL). To remove DMF
from the product, the solid was washed and centrifuged with acetone (2 mL) four times. The resulting
white solid was dried in air at 70 °C"
33,33CAU27,10.1002/anie.201905456,"Synthesis of CAU-26: 232.6 mg (1.40 mmol) terephthalic acid and 20 mL acetic acid were placed in a PTFE lined steel autoclave.
Afterwards 0.892 mL (ca. 2 mmol) zirconium acetate solution in dilute acetic acid (15 to 17 wt% Zr) were added and the autoclave was
sealed. The mixture was heated to 160 °C in one hour and then the temperature was kept for 22 hours. After the reaction mixture
cooled down to room temperature, 447.0 mg of a white solid were obtained via filtration and subsequent drying for 1 hour at 60 °C.
Synthesis of CAU-27-BDC: 232.6 mg (1.40 mmol) terephthalic acid and 20 mL acetic acid were placed in a PTFE lined steel
autoclave. Afterwards 0.892 mL (ca. 2 mmol) zirconium acetate solution in dilute acetic acid (15 to 17 wt% Zr) were added and the
autoclave was sealed. The mixture was heated to 220 °C in one hour and then the temperature was kept for 238 hours. After the
reaction mixture cooled down to room temperature, 526.8 mg of a white/greyish solid were obtained via filtration and subsequent drying
for 1 hour at 60 °C.
Synthesis of CAU-27-BPDC: 339.1 mg (1.40 mmol) 4,4’-biphenyl-dicarboxylic acid and 20 mL acetic acid were placed in a PTFE lined
steel autoclave. Afterwards 0.892 mL (ca. 2 mmol) zirconium acetate solution in dilute acetic acid (15 to 17 wt% Zr) were added and
the autoclave was sealed. The mixture was heated to 220 °C in one hour and then the temperature was kept for 238 hours. After the
reaction mixture cooled down to room temperature, 675.9 mg of a white/greyish solid were obtained via filtration and subsequent drying
for 1 hour at 60 °C.
Synthesis of CAU-27-BIPY: 341.9 mg (1.40 mmol) 5,5’-dicarboxy-2,2’-bipyridine and 20 mL acetic acid were placed in a PTFE lined
steel autoclave. Afterwards 0.892 mL (ca. 2 mmol) zirconium acetate solution in dilute acetic acid (15 to 17 wt% Zr) were added and
the autoclave was sealed. The mixture was heated to 220 °C in one hour and then the temperature was kept for 238 hours. After the
reaction mixture cooled down to room temperature, 509.6 mg of a white/greyish solid were obtained via filtration and subsequent drying
for 1 hour at 60 °C.
Synthesis of UiO-67-BIPY: UiO-67-BIPY was prepared via a slightly adapted standard solvothermal method.[5] 1.27 mmol 5,5’-
dicarboxy-2,2’-bipyridine was dissolved in 100 mL DMF in a 250 mL Schott bottle and sonicated for 15 min. Next, 1.27 mmol ZrCl4 was
added, followed by 2.15 mL acetic acid and 0.5 mL 37% HCl. The mixture was then placed in an oven at 120 °C for 48 h. After MOF
formation, the MOF was washed 3 times with DMF and 3 times with ethanol. After each washing step, the MOF mixture was centrifuged
for 30 min at 4000 rpm. Eventually, the MOF was dried overnight in an oven at 80 °C."
34,34CAU28,10.1021/acs.inorgchem.6b02969,"Optimized Reaction Conditions for Zr-CAU-28
In the system ZrOCl2·8H2O/H2FDC/2-propanol/acetic acid, the initial synthesis conditions were optimized. Subsequently, it was observed that 2-propanol can be readily replaced by equal volumes of water, water/2-propanol, and water/ethanol mixtures, respectively. While Zr-CAU-28 is always obtained (Figure 2), this affects the particle diameter as observed by dynamic light scattering (see Supporting Information, SI, Table S1 and Figures S1, S2). The optimized reaction system is ZrOCl2·8H2O/H2FDC/H2O/acetic acid. The most crystalline product is obtained by a microwave-assisted reaction of a mixture of 45 mg (0.28 mmol) of H2FDC, 60 mg (0.19 mmol) ZrOCl2·8H2O, 700 μL acetic acid, and 800 μL H2O. The reaction mixture was stirred for several minutes before being placed into the microwave oven at 80 °C for 1 h. The raw product was separated via centrifugation and washed in ethanol by redispersion and centrifugation. Yield: 55 mg (46% based on H2FDC) of a white crystalline powder of [Zr6O4(OH)4(FDC)4(OH)4(H2O)4]·nH2O with n ≈ 16 (elemental analysis measured: C: 16.71; H: 2.26; calculated: C: 16.72; H: 3.90).
Figure 2

Figure 2. PXRD patterns of Zr-CAU-28 synthesized using identical amounts of different solvents and solvent mixtures (a: ethanol/water; b: 2-propanol; c: water; and d: theoretical pattern) and employing acetic acid as modulator.

Synthesis of Ce-CAU-28
2,5-Furandicarboxylic acid (33.3 mg, 0.21 mmol) was introduced into a pyrex tube glass reactor. After the addition of 1.2 mL of DMF and formic acid (515 μL, 13.57 mmol), an aqueous 0.533 m solution of cerium(IV) ammonium nitrate (400 μL, 0.21 mmol) was added to the mixture. The glass reactor was sealed and heated under stirring for 15 min at 100 °C. The white precipitate was centrifuged in the mother liquor which was then decanted off before being redispersed and centrifuged twice in DMF (2 mL). To remove DMF from the product, the solid was subsequently washed and centrifuged with acetone (2 mL) four times. The resulting white solid was dried in air at 70 °C. Yield: 35 mg (29%). Elemental analysis for the as synthesized MOF Ce-CAU-28 [Ce6O4(OH)4(FDC)4(OH)4(H2O)4]·2DMF·2H2O: calculated: C 17.29%, H 1.62%, N 1.34%; measured: C 17.70%, H 1.57%, N 0.89%."
